Gene ID	Protein accession
5740846	NP_001104092.2
43766	NP_524616.2
43767	NP_524617.3
43768	NP_524618.1
43769	NP_524619.3
43770	NP_787122.1
317815	NP_726532.1
317817	NP_726538.1
319064	NP_726539.1
3885646	NP_001033801.3
43771	NP_651905.1
43772	NP_651906.1
43774	NP_726548.1
43775	NP_651908.1
43777	NP_726551.2
43779	NP_651912.3
43780	NP_651913.1
2768865	NP_001096850.2
43781	NP_651914.3
43782	NP_995592.2
43783	NP_726557.3
43785	NP_651918.2
43786	NP_651919.3
318246	NP_726563.1
43787	NP_726564.5
43788	NP_524621.2
43789	NP_726568.2
43791	NP_651922.1
43792	NP_524622.1
43793	NP_651923.2
3772538	NP_001334686.1
43794	NP_651924.2
43795	NP_524623.2
43796	NP_651925.1
43797	NP_524624.1
43798	NP_651926.1
43799	NP_651927.1
43800	NP_651928.1
45816	NP_524842.2
43803	NP_524625.3
43804	NP_524626.1
43805	NP_651930.2
43806	NP_651931.1
43808	NP_726596.1
54520456	NP_001368987.1
43809	NP_651933.1
43810	NP_651934.2
43811	NP_726604.1
43812	NP_524628.2
43814	NP_995598.1
43816	NP_651936.1
43844	NP_726612.1
43843	NP_651951.1
43842	NP_651950.3
43841	NP_651949.2
43839	NP_524640.3
43838	NP_524639.2
43836	NP_726618.3
43835	NP_001162829.1
43833	NP_524638.3
43832	NP_524637.2
43831	NP_651944.1
43830	NP_651943.2
43829	NP_726631.1
43828	NP_524635.3
317824	NP_652015.1
43827	NP_524634.2
43826	NP_651942.2
43825	NP_524633.3
43824	NP_524632.1
43823	NP_524631.1
43822	NP_651941.2
317823	NP_726650.2
43820	NP_651939.4
43819	NP_524630.1
3346141	NP_001014702.1
3885565	NP_001033805.1
3885647	NP_001033807.1
3885567	NP_001033810.1
49968	NP_001027029.2
5740847	NP_001096854.1
5740235	NP_001096855.1
3354987	NP_001027032.1
5740408	NP_001162627.1
30970	NP_569833.1
30971	NP_569834.1
7354420	NP_001138136.1
30973	NP_477030.1
30972	NP_569835.1
3346142	NP_001014706.2
30975	NP_476892.4
30979	NP_569839.2
30976	NP_569837.2
30977	NP_569838.1
30978	NP_525029.2
318225	NP_726662.1
12798292	NP_001245445.1
12798293	NP_001245446.1
30980	NP_476792.1
30981	NP_476824.1
30982	NP_476803.1
30983	NP_476623.1
30984	NP_525030.1
30985	NP_476694.1
30986	NP_525031.1
47141	NP_524879.2
30988	NP_569840.1
318226	NP_726668.1
30990	NP_569842.1
30991	NP_569843.2
30994	NP_569844.2
30995	NP_569845.2
30996	NP_569846.2
30998	NP_525032.2
31000	NP_525033.1
46717	NP_524875.1
31001	NP_569847.1
31002	NP_476626.2
31003	NP_476786.2
31004	NP_569848.2
31005	NP_569849.1
31006	NP_525034.2
31007	NP_569850.1
50364	NP_652500.1
47718	NP_652054.1
31009	NP_476629.1
31010	NP_476593.2
31011	NP_477249.3
31012	NP_476754.1
31013	NP_569851.2
31014	NP_569852.1
31015	NP_569853.1
31016	NP_477390.1
31017	NP_477289.5
31018	NP_569854.1
31020	NP_569856.2
31019	NP_569855.2
31021	NP_569857.1
31022	NP_477134.1
31023	NP_525035.2
31024	NP_569858.1
31025	NP_569859.1
31026	NP_569860.3
31027	NP_525036.2
31028	NP_569861.1
31029	NP_569862.3
31030	NP_569863.1
31031	NP_477389.4
31032	NP_569864.1
50365	NP_652501.1
50366	NP_001036255.1
31033	NP_569865.1
31036	NP_569868.1
31037	NP_569869.2
31038	NP_569870.1
31039	NP_569871.2
53540	NP_652634.1
318224	NP_726709.2
31042	NP_726710.1
31043	NP_569872.1
31044	NP_569873.1
31045	NP_569874.1
31046	NP_569875.2
31047	NP_569876.3
59184	NP_659571.1
31048	NP_569877.1
31049	NP_569878.1
31054	NP_476756.2
31050	NP_569879.1
318223	NP_726716.2
53546	NP_652639.1
31052	NP_569880.1
318857	NP_788853.1
44620	NP_651985.1
7354475	NP_001036256.2
31055	NP_569881.1
31056	NP_569882.1
31057	NP_569883.1
31059	NP_726718.1
31060	NP_569886.1
31061	NP_569887.1
31062	NP_569888.1
31063	NP_569889.2
31064	NP_569890.1
31065	NP_569891.1
31066	NP_569892.1
31067	NP_569894.2
31068	NP_726719.1
31069	NP_569895.1
31070	NP_569896.1
31071	NP_569897.4
31072	NP_569898.1
43867	NP_620473.1
31074	NP_569899.3
31075	NP_569900.3
318222	NP_726725.2
45973	NP_569901.1
31078	NP_569902.2
31079	NP_726727.1
31081	NP_569904.1
31080	NP_525037.1
31082	NP_569905.1
31083	NP_569906.1
