Gene ID	Protein accession	bombyx_mori	NCBI GeneID	Symbol	Description
135071063	XP_063820879.1	XP_004931900.1	101746404	LOC101746404	broad-complex core protein
135071064	XP_063820880.1	XP_012550722.1	105842407	LOC105842407	uncharacterized LOC105842407
135071065	XP_063820881.1	XP_037874770.2	101739475	LOC101739475	protein still life, isoform SIF type 1
135088652	XP_063820882.1	XP_012549186.1	101742463	LOC101742463	lachesin
135071066	XP_063820883.1	XP_004931898.3	101746019	Blimp-1	PR domain zinc finger protein 1
135071067	XP_063820886.1	XP_004932018.2	101739195	LOC101739195	zinc finger protein 239
135071068	XP_063820887.1	XP_004931897.2	101745883	Dus4	Dihydrouridine synthase 4
135071070	XP_063820889.1	XP_004931895.2	101745585	Zfrp8	Zinc finger protein RP-8
135071071	XP_063820893.1	XP_004931896.1	101745738	LOC101745738	transmembrane protein 242
135071072	XP_063820894.1	XP_004931893.3	101745347	LOC101745347	putative mediator of RNA polymerase II transcription subunit 26
135071073	XP_063820896.1	XP_037874805.1	101745109	LOC101745109	coiled-coil domain-containing protein 6
135071075	XP_063820897.1	XP_037868562.1	119628845	LOC119628845	uncharacterized LOC119628845
135071077	XP_063820898.1	XP_004932015.1	101738764	byn	T-domain transcriptional activator brachyenteron
135071078	XP_063820899.1	NP_001037001.1	692550	CPR46	cuticular protein RR-1 motif 46
135071079	XP_063820900.1	NP_001037620.1	733064	Rab3	RAS oncogene family member Rab3
135071076	XP_063820902.1	XP_021206322.1	101742900	dcma	decima
135071082	XP_063820904.1	XP_004931937.1	101739474	LOC101739474	GTPase Era, mitochondrial
135071083	XP_063820905.1	XP_004931938.1	101739612	LOC101739612	mpv17-like protein 2
135071085	XP_063820907.1	XP_012550801.1	101742417	ca	RCC1 and BTB domain containing protein claret
135071087	XP_063820908.1	NP_001037054.1	692608	DLDH	dihydrolipoamide dehydrogenase
135071089	XP_063820909.1	XP_021207470.1	101742562	LOC101742562	homeobox protein 2
135071086	XP_063820911.1	XP_004930231.1	101739749	LOC101739749	uncharacterized LOC101739749
135071090	XP_063820913.1	NP_001037426.1	693001	Y-c	yellow-c
135071091	XP_063820914.1	NP_001119722.1	100145906	Lkb1	serine/threonine kinase LKB1
135071062	XP_063820915.1	XP_004930258.3	101743945	LOC101743945	putative serine protease K12H4.7
135071092	XP_063820916.1	XP_012550795.1	101741455	LOC101741455	traB domain-containing protein
135071093	XP_063820920.1	XP_037874965.1	101740954	LOC101740954	protein stunted
135071095	XP_063820922.1	XP_021207466.1	101741124	LOC101741124	uncharacterized LOC101741124
135071096	XP_063820926.1	XP_037874661.1	101741686	Stacl	SH3 and cysteine-rich domain-containing protein
135071097	XP_063820927.1	XP_004932041.3	101742705	LOC101742705	putative mediator of RNA polymerase II transcription subunit 26
135071098	XP_063820929.1	XP_004931926.1	101738097	LOC101738097	mucin-2
135071099	XP_063820930.1	XP_037874928.1	101739091	bora	aurora kinase A activator-like protein bora
135071100	XP_063820931.1	XP_004931923.2	101737746	LOC101737746	pancreatic triacylglycerol lipase
135071101	XP_063820933.1	NP_001177296.1	100462731	CaMKII	Calcium/calmodulin-dependent protein kinase II
135071102	XP_063820934.1	XP_037874820.1	101737000	LOC101737000	pancreatic lipase-related protein 2
135071103	XP_063820935.1	XP_004931956.1	101741736	LOC101741736	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma
135071104	XP_063820937.1	XP_012550751.1	101742276	LOC101742276	uncharacterized LOC101742276
135071105	XP_063820938.1	XP_004931953.3	101741318	LOC101741318	formylglycine-generating enzyme
135071106	XP_063820939.1	XP_004931931.1	101738724	Tgi	Tondu-domain-containing Growth Inhibitor
135071107	XP_063820941.1	XP_004931951.2	101741086	LOC101741086	elongation of very long chain fatty acids protein AAEL008004
135071108	XP_063820945.1	XP_004931947.1	101740658	LOC101740658	elongation of very long chain fatty acids protein AAEL008004
135071109	XP_063820949.1	XP_004931946.1	101740518	Elovl7	ELOVL fatty acid elongase 7
135071111	XP_063820951.1	NP_001166716.1	100379431	CPR36	cuticular protein RR-1 motif 36
135071112	XP_063820952.1	NP_001166713.1	100379428	CPR40	cuticular protein RR-1 motif 40
135071114	XP_063820953.1	NP_001166717.1	100379433	CPR34	cuticular protein RR-1 motif 34
135071115	XP_063820954.1	XP_004931958.1	101741982	gdl	gonadal protein gdl
135071116	XP_063820955.1	XP_062530882.1	101739890	LOC101739890	protein FAM107B
135071113	XP_063820956.1	XP_037866997.1	101739326	pnut	septin 7-like protein pnut
135071117	XP_063820958.1	NP_001036828.1	692363	CPR38	cuticular protein RR-1 motif 38
135071120	XP_063820961.1	NP_001166715.1	100379430	Cpr49Ae	Cuticular protein 49Ae
135071125	XP_063820965.1	XP_004932030.3	101740982	LOC101740982	uncharacterized LOC101740982
135071131	XP_063820966.1	XP_037874832.1	101743137	LOC101743137	osteopetrosis-associated transmembrane protein 1
135071132	XP_063820967.1	XP_037874834.1	101743098	Eaf6	chromatin modification-related protein EAF6/MEAF6
135071134	XP_063820968.1	XP_037874902.1	101743280	LOC101743280	peroxisome biogenesis factor 2
135071135	XP_063820969.1	NP_001166645.1	100379354	CPR125	cuticular protein RR-2 motif 125
135071136	XP_063820970.1	XP_004932048.1	101743854	LOC101743854	band 7 protein AGAP004871
135071138	XP_063820976.1	NP_001166681.1	100379394	CPR79	cuticular protein RR-2 motif 79
135071137	XP_063820979.1	XP_004930225.1	101738989	LOC101738989	regulator of microtubule dynamics protein 1
135071141	XP_063820980.1	NP_001166670.1	100379381	CPR94	cuticular protein RR-2 motif 94
135071143	XP_063820983.1	NP_001166646.1	100379356	CPR123	cuticular protein RR-2 motif 123
135071144	XP_063820984.1	NP_001036855.1	692395	CPR103	cuticular protein RR-2 motif 103
135071146	XP_063820986.1	NP_001166667.1	100379377	CPR98	cuticular protein RR-2 motif 98
135071148	XP_063820988.1	XP_037874865.1	101745594	LOC101745594	uncharacterized LOC101745594
135071149	XP_063820989.1	NP_001166680.1	100379392	CPR81	cuticular protein RR-2 motif 81
135071150	XP_063820990.1	NP_001296543.1	101742275	LOC101742275	histidine-rich glycoprotein-like
135071147	XP_063820991.1	XP_004930221.1	101738538	LOC101738538	phospholipid scramblase 1
135071152	XP_063820992.1	XP_037875005.2	119630270	LOC119630270	uncharacterized LOC119630270
135071157	XP_063820997.1	NP_001036864.1	692406	CPR93	cuticular protein RR-2 motif 93
135071158	XP_063820998.1	NP_001166640.1	100379349	CPR130	cuticular protein RR-2 motif 130
135071159	XP_063821002.1	NP_001040327.1	693109	Rap2l	Ras-associated protein 2-like
135071167	XP_063821007.1	NP_001166678.1	100379390	CPR84	cuticular protein RR-2 motif 84
135071168	XP_063821008.1	NP_001166679.1	100379391	CPR82	cuticular protein RR-2 motif 82
135071172	XP_063821011.1	NP_001166641.1	100379350	CPR129	cuticular protein RR-2 motif 129
135071173	XP_063821012.1	NP_001166642.1	100379351	CPR128	cuticular protein RR-2 motif 128
135071174	XP_063821013.1	NP_001166671.1	100379383	CPR91	cuticular protein RR-2 motif 91
135071177	XP_063821018.1	XP_004930220.1	101738403	LOC101738403	GILT-like protein 1
135071181	XP_063821019.1	NP_001166643.1	100379352	CPR127	cuticular protein RR-2 motif 127
135071184	XP_063821020.1	XP_037874974.1	101744002	LOC101744002	uncharacterized LOC101744002
135071185	XP_063821021.1	XP_004931963.2	101742809	mRpL47	mitochondrial ribosomal protein L47
135071186	XP_063821022.1	XP_004931964.1	101743047	sfl	N-deacetylase and N-sulfotransferase sfl
135071188	XP_063821026.1	XP_004931965.2	101743194	LOC101743194	MATH and LRR domain-containing protein PFE0570w
135071189	XP_063821028.1	XP_004931970.2	101743801	mst	misato mitochondrial distribution and morphology regulator
135071190	XP_063821030.1	XP_004931973.2	101744240	LOC101744240	uncharacterized LOC101744240
135071191	XP_063821031.1	XP_004931974.1	101744384	LOC101744384	protein FAM32A-like
135071192	XP_063821032.1	NP_001136442.1	100233162	Inx3	innexin 3
135071193	XP_063821033.1	XP_004931981.2	101745586	LOC101745586	folliculin-interacting protein 2
135071194	XP_063821035.1	XP_004931977.2	101745051	RhoGAP100F	Rho GTPase activating protein at 100F
135071195	XP_063821036.1	XP_037874688.1	692733	LOC692733	vesicle-fusing ATPase 1
135071197	XP_063821037.1	XP_004931967.1	101743421	LOC101743421	uncharacterized LOC101743421
135071198	XP_063821038.1	XP_004931975.1	101744528	grn	GATA binding protein grain
135071199	XP_063821043.1	NP_001129356.1	100190958	Ivd	isovaleryl coenzyme A dehydrogenase
135071200	XP_063821044.1	XP_021207491.2	101745348	JMJD5	Jumonji domain containing 5
135071201	XP_063821045.1	XP_012550819.1	105842428	LOC105842428	putative uncharacterized protein DDB_G0291608
135071202	XP_063821048.1	XP_037874323.1	105842396	LOC105842396	uncharacterized LOC105842396
135071206	XP_063821051.1	NP_001036878.1	692422	p27K	27 kDa glycoprotein
135071207	XP_063821052.1	XP_004932052.2	101744579	spg	dedicator of cytokinesis spg
135071208	XP_063821054.1	XP_037875008.1	101745840	LOC101745840	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase
135071212	XP_063821058.1	XP_037874861.1	119630235	LOC119630235	uncharacterized LOC119630235
