Gene ID	Protein accession
135074699	XP_063825140.1
135074877	XP_063825357.1
135074055	XP_063824464.1
135074348	XP_063824713.1
135075295	XP_063825797.1
135074782	XP_063825266.1
135074547	XP_063824980.1
135075420	XP_063825958.1
135076884	XP_063827453.1
135074723	XP_063825165.1
135076893	XP_063827477.1
135074689	XP_063825160.1
135074690	XP_063825129.1
135075521	XP_063826047.1
135075626	XP_063826141.1
135075780	XP_063826349.1
135076037	XP_063826591.1
135075948	XP_063826498.1
135074751	XP_063825196.1
135076903	XP_063827488.1
135076910	XP_063827500.1
135076922	XP_063827509.1
135076928	XP_063827521.1
135076940	XP_063827533.1
135076949	XP_063827545.1
135078186	XP_063828877.1
135074768	XP_063825224.1
135076190	XP_063826769.1
135076285	XP_063826870.1
135076380	XP_063826962.1
135076493	XP_063827049.1
135074778	XP_063825234.1
135078091	XP_063828772.1
135077909	XP_063828545.1
135074789	XP_063825243.1
135076957	XP_063827557.1
135077412	XP_063828055.1
135077502	XP_063828154.1
135078003	XP_063828655.1
135076964	XP_063827568.1
135076970	XP_063827580.1
135076605	XP_063827132.1
135074808	XP_063825261.1
135076981	XP_063827586.1
135077259	XP_063827891.1
135077691	XP_063828367.1
135077600	XP_063828258.1
135076984	XP_063827602.1
135074823	XP_063825278.1
135076986	XP_063827665.1
135076768	XP_063827303.1
135074833	XP_063825286.1
135077153	XP_063827807.1
135077805	XP_063828445.1
135076846	XP_063827421.1
135076918	XP_063827541.1
135076985	XP_063827618.1
135074838	XP_063825292.1
135074847	XP_063825302.1
135076987	XP_063827634.1
135078273	XP_063828969.1
135078360	XP_063829039.1
135074857	XP_063825312.1
135078472	XP_063829118.1
135078577	XP_063829209.1
135076989	XP_063827648.1
135078819	XP_063829484.1
135074866	XP_063825321.1
135078911	XP_063829599.1
135078989	XP_063829709.1
135079086	XP_063829792.1
135079198	XP_063829890.1
135079998	XP_063830767.1
135074903	XP_063825349.1
135079423	XP_063830186.1
135079591	XP_063830322.1
135079698	XP_063830407.1
135079913	XP_063830654.1
135074937	XP_063825373.1
135074951	XP_063825390.1
135076998	XP_063827658.1
135074968	XP_063825407.1
135074978	XP_063825421.1
135074986	XP_063825429.1
135074995	XP_063825437.1
135075005	XP_063825449.1
135075020	XP_063825465.1
135075041	XP_063825484.1
135076682	XP_063827175.1
135076691	XP_063827184.1
135076702	XP_063827195.1
135080398	XP_063831135.1
135080092	XP_063830878.1
135075052	XP_063825493.1
135075064	XP_063825498.1
135081929	XP_063832789.1
135075078	XP_063825499.1
135081031	XP_063831856.1
135081211	XP_063832060.1
135081119	XP_063831959.1
135081314	XP_063832139.1
135081435	XP_063832226.1
135077007	XP_063827670.1
135081736	XP_063832627.1
135081831	XP_063832718.1
135083197	XP_063834031.1
135084365	XP_063835242.1
135082408	XP_063833308.1
135082506	XP_063833408.1
135082615	XP_063833506.1
135082716	XP_063833587.1
135084163	XP_063835006.1
135083287	XP_063834129.1
135082821	XP_063833685.1
135076711	XP_063827205.1
135083086	XP_063833955.1
135082986	XP_063833851.1
135083387	XP_063834233.1
135084066	XP_063834912.1
135084522	XP_063835391.1
135084619	XP_063835494.1
135084943	XP_063835805.1
135085178	XP_063836037.1
135075106	XP_063825519.1
135084855	XP_063835695.1
135085275	XP_063836147.1
135077026	XP_063827690.1
135077044	XP_063827711.1
