Gene ID	Protein accession	bombyx_mori	NCBI GeneID	Symbol	Description
135074699	XP_063825140.1				
135074877	XP_063825357.1				
135074055	XP_063824464.1	XP_037866847.1	101744655.0	Xpac	DNA repair protein complementing XP-A cells homolog Xpac
135074348	XP_063824713.1	XP_004927640.1	101744125.0	LOC101744125	zinc finger protein 706
135075295	XP_063825797.1	XP_037867019.1	101743979.0	beg	malonyl-CoA-acyl carrier protein transacylase beg
135074782	XP_063825266.1	XP_037867040.1	101744941.0	Acadvl	Acyl-CoA dehydrogenase very long chain
135074547	XP_063824980.1	XP_004927636.1	101743681.0	LOC101743681	phospholipase ABHD3
135075420	XP_063825958.1	XP_021204624.1	101743540.0	LOC101743540	leucine carboxyl methyltransferase 1
135076884	XP_063827453.1	XP_021204623.2	101744797.0	IntS9	integrator complex subunit 9
135074723	XP_063825165.1				
135076893	XP_063827477.1				
135074689	XP_063825160.1	NP_001106231.1	100127129.0	LOC100127129	cytochrome b5
135074690	XP_063825129.1	XP_062524490.1	105841815.0	LOC105841815	zwei Ig domain protein zig-8
135075521	XP_063826047.1	XP_012546822.1	101741722.0	LOC101741722	phospholipid scramblase 2
135075626	XP_063826141.1	XP_012546825.1	101741351.0	LOC101741351	uncharacterized LOC101741351
135075780	XP_063826349.1	NP_001040392.1	732927.0	Bug22	cilia- and flagella-associated protein 20
135076037	XP_063826591.1	NP_001116818.1	100144578.0	hpo	serine/threonine-protein kinase hippo
135075948	XP_063826498.1	XP_037866832.1	101744364.0	LOC101744364	uncharacterized LOC101744364
135074751	XP_063825196.1	XP_037867244.1	119628569.0	LOC119628569	uncharacterized LOC119628569
135076903	XP_063827488.1	XP_037867278.1	105842918.0	Hey	Hairy/E(spl)-related with YRPW motif
135076910	XP_063827500.1	XP_037866802.1	101747074.0	LOC101747074	uncharacterized LOC101747074
135076922	XP_063827509.1				
135076928	XP_063827521.1	XP_037866808.1	101746801.0	LOC101746801	caveolin-3
135076940	XP_063827533.1				
135076949	XP_063827545.1	XP_037866807.2	110385197.0	LOC110385197	mutS protein homolog 5
135078186	XP_063828877.1	NP_001138805.1	100270786.0	Uba5	Ubiquitin-like activating enzyme 5
135074768	XP_063825224.1	XP_037867115.1	101746521.0	cd	peroxidasin homolog cardinal
135076190	XP_063826769.1	NP_001036990.1	692539.0	DnaJ-5	DnaJ (Hsp40) homolog 5
135076285	XP_063826870.1	XP_004926269.1	101743975.0	Atac2	Ada2a-containing complex component 2
135076380	XP_063826962.1	XP_037867283.1	105841642.0	Ada2a	Transcriptional adapter 2A
135076493	XP_063827049.1	XP_004926267.1	101743731.0	LOC101743731	lysosomal Pro-X carboxypeptidase
135074778	XP_063825234.1	XP_004926266.2	101743594.0	LOC101743594	dynein assembly factor with WD repeat domains 1
135078091	XP_063828772.1	XP_012545879.1	101743453.0	LOC101743453	solute carrier organic anion transporter family member 4A1
135077909	XP_063828545.1	XP_004926264.1	101743173.0	Vps25	vacuolar protein sorting 25
135074789	XP_063825243.1	XP_012545888.2	101743026.0	LOC101743026	NEDD8-conjugating enzyme UBE2F
135076957	XP_063827557.1	XP_037866811.1	101746244.0	LOC101746244	obscurin
135077412	XP_063828055.1				
135077502	XP_063828154.1				
135078003	XP_063828655.1	NP_001040265.1	692960.0	LOC692960	phosphohistidine phosphatase
135076964	XP_063827568.1				
