Gene ID	Protein accession	drosophila_melanogaster	NCBI GeneID	Symbol	Description
135074699	XP_063825140.1				
135074877	XP_063825357.1				
135074055	XP_063824464.1	NP_476866.1	31357.0	Xpac	Xeroderma pigmentosum group A-like
135074348	XP_063824713.1	NP_648808.1	39726.0	CG15715	uncharacterized protein
135075295	XP_063825797.1	NP_648950.1	39910.0	beg	bad egg
135074782	XP_063825266.1	NP_611409.2	37217.0	Acadvl	Acyl-CoA dehydrogenase very long chain
135074547	XP_063824980.1	NP_610459.2	35930.0	Hydr1	alpha/beta hydrolase 1
135075420	XP_063825958.1	NP_609766.1	34928.0	CG3793	uncharacterized protein
135076884	XP_063827453.1	NP_648838.3	39763.0	IntS9	Integrator 9
135074723	XP_063825165.1				
135076893	XP_063827477.1				
135074689	XP_063825160.1				
135074690	XP_063825129.1	NP_652439.1	50296.0	dpr6	defective proboscis extension response 6
135075521	XP_063826047.1				
135075626	XP_063826141.1				
135075780	XP_063826349.1	NP_609402.1	34429.0	Bug22	Basal body up regulated gene 22
135076037	XP_063826591.1	NP_611427.1	37247.0	hpo	hippo
135075948	XP_063826498.1				
135074751	XP_063825196.1				
135076903	XP_063827488.1	NP_523657.1	35764.0	Hey	Hairy/E(spl)-related with YRPW motif
135076910	XP_063827500.1				
135076922	XP_063827509.1				
135076928	XP_063827521.1				
135076940	XP_063827533.1				
135076949	XP_063827545.1				
135078186	XP_063828877.1	NP_572722.2	32094.0	Uba5	Ubiquitin-like activating enzyme 5
135074768	XP_063825224.1	NP_651081.1	42681.0	cd	cardinal
135076190	XP_063826769.1	NP_608586.2	33308.0	CG5001	uncharacterized protein
135076285	XP_063826870.1	NP_609889.1	35113.0	Atac2	Ada2a-containing complex component 2
135076380	XP_063826962.1	NP_001014634.1	326128.0	Ada2a	transcriptional Adaptor 2a
135076493	XP_063827049.1	NP_610037.1	35316.0	CG2493	uncharacterized protein
135074778	XP_063825234.1	NP_001097972.3	43482.0	CG7568	uncharacterized protein
135078091	XP_063828772.1	NP_609055.2	33927.0	Oatp26F	Organic anion transporting polypeptide 26F
135077909	XP_063828545.1	NP_610398.1	35847.0	Vps25	Vacuolar protein sorting 25
135074789	XP_063825243.1				
135076957	XP_063827557.1	NP_001014545.3	3346201.0	Obsc	Obscurin
135077412	XP_063828055.1				
135077502	XP_063828154.1				
135078003	XP_063828655.1	NP_788762.1	43569.0	janA	janus A
135076964	XP_063827568.1				
135076970	XP_063827580.1				
135076605	XP_063827132.1	NP_610301.1	35697.0	HisT	Histamine transporter
135074808	XP_063825261.1				
135076981	XP_063827586.1	NP_610302.3	35698.0	M7BP	Myosin-7a binding protein
135077259	XP_063827891.1	NP_611933.1	37924.0	uri	unconventional prefoldin RPB5 interactor
135077691	XP_063828367.1	NP_611573.1	37431.0	CG9752	uncharacterized protein
135077600	XP_063828258.1	NP_650716.2	42209.0	Nup43	Nucleoporin 43kD
135076984	XP_063827602.1	NP_001036454.1	3355133.0	conu	conundrum
135074823	XP_063825278.1	NP_723811.1	326166.0	Tap42	Two A-associated protein of 42kDa
135076986	XP_063827665.1				
135076768	XP_063827303.1				
135074833	XP_063825286.1	NP_609619.1	34722.0	CG16812	uncharacterized protein
135077153	XP_063827807.1	NP_650402.1	41802.0	Dph2	Diphthamide biosynthesis 2
