Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_002355.1	312	662	MT	plus	NADH dehydrogenase subunit 3	ND3	809257	protein-coding		NP_059468.1	116	KEF65_p13
NC_002355.1	1147	2865	MT	minus	NADH dehydrogenase subunit 5	ND5	809258	protein-coding		NP_059469.1	572	KEF65_p12
NC_002355.1	3001	4353	MT	minus	NADH dehydrogenase subunit 4	ND4	809259	protein-coding		NP_059470.1	450	KEF65_p11
NC_002355.1	4353	4643	MT	minus	NADH dehydrogenase subunit 4L	ND4L	809260	protein-coding		NP_059471.1	96	KEF65_p10
NC_002355.1	4781	5311	MT	plus	NADH dehydrogenase subunit 6	ND6	809261	protein-coding		NP_059472.1	176	KEF65_p09
NC_002355.1	5362	6513	MT	plus	cytochrome b	CYTB	809262	protein-coding		NP_059473.1	383	KEF65_p08
NC_002355.1	6608	7540	MT	minus	NADH dehydrogenase subunit 1	ND1	809263	protein-coding		NP_059474.1	310	KEF65_p07
NC_002355.1	10605	11609	MT	plus	NADH dehydrogenase subunit 2	ND2	809265	protein-coding		NP_059475.1	334	KEF65_p06
NC_002355.1	11831	13361	MT	plus	cytochrome c oxidase subunit I	COX1	809266	protein-coding		NP_059476.1	510	KEF65_p05
NC_002355.1	13429	14110	MT	plus	cytochrome c oxidase subunit II	COX2	809267	protein-coding		NP_059477.1	227	KEF65_p04
NC_002355.1	14248	14409	MT	plus	ATP synthase F0 subunit 8	ATP8	809268	protein-coding		NP_059478.1	53	KEF65_p03
NC_002355.1	14403	15080	MT	plus	ATP synthase F0 subunit 6	ATP6	809269	protein-coding		NP_059479.1	225	KEF65_p02
NC_002355.1	15095	240	MT	plus	cytochrome c oxidase subunit III	COX3	4266952	protein-coding		NP_059480.1	262	KEF65_p01
NC_085107.1	36132	38120	1	plus	uncharacterized LOC119628875	LOC119628875	119628875	protein-coding	XM_038012837.1	XP_037868765.1	662	
NC_085107.1	55227	75024	1	plus	anion exchange protein 3	LOC101741181	101741181	protein-coding	XM_004932718.5	XP_004932775.1	1113	
NC_085107.1	79556	120624	1	minus	tyrosine-protein kinase Abl	LOC101739479	101739479	protein-coding	XM_012696031.4	XP_012551485.1	1248	
NC_085107.1	89885	90954	1	plus	uncharacterized LOC105842509	LOC105842509	105842509	protein-coding	XM_012696034.4	XP_012551488.1	159	
NC_085107.1	127170	143779	1	minus	alpha-tubulin N-acetyltransferase 1	LOC101741407	101741407	protein-coding	XM_004932719.5	XP_004932776.1	377	
NC_085107.1	147697	351472	1	minus	adenylate cyclase type 6	LOC101739615	101739615	protein-coding	XM_021352309.3	XP_021207984.2	1411	
NC_085107.1	359650	364755	1	plus	uncharacterized protein K02A2.6-like	LOC119628878	119628878	protein-coding	XM_038012853.1	XP_037868781.1	1155	
NC_085107.1	364731	391073	1	plus	SET and MYND domain-containing protein 4	LOC101741740	101741740	protein-coding	XM_004932722.5	XP_004932779.1	743	
NC_085107.1	398408	420615	1	minus	uncharacterized LOC101739758	LOC101739758	101739758	protein-coding	XM_038010956.2	XP_037866884.2	216	
NC_085107.1	400744	401851	1	minus	uncharacterized LOC119628879	LOC119628879	119628879	protein-coding	XM_038012856.1	XP_037868784.1	215	
NC_085107.1	423306	424647	1	minus	ribosome biogenesis protein BOP1 homolog	LOC134198721	134198721	protein-coding	XM_062674370.1	XP_062530354.1	193	
NC_085107.1	448489	456022	1	minus	uncharacterized LOC105841884	LOC105841884	105841884	protein-coding	XM_038011959.2	XP_037867887.1	377	
NC_085107.1	457748	467101	1	minus	uncharacterized LOC101741886	LOC101741886	101741886	protein-coding	XM_004932723.4	XP_004932780.1	368	
NC_085107.1	469232	497816	1	minus	paramyosin	LOC101742177	101742177	protein-coding	XM_038011949.2	XP_037867877.1	878	
