NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
693030	FIBH	silk fibroin heavy chain	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692415	dsx	transcription factor doublesex	Bombyx mori	domestic silkworm	PROTEIN_CODING	13	40940	NCBI Ortholog
101740082	LOC101740082	sericin 1-like	Bombyx mori	domestic silkworm	PROTEIN_CODING	33		
692767	PTTH	prothoracicotropic hormone	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692523	br	broad-complex core protein	Bombyx mori	domestic silkworm	PROTEIN_CODING	14	44505	NCBI Ortholog
692749	PBAN	pheromone biosynthesis activating neuropeptide	Bombyx mori	domestic silkworm	PROTEIN_CODING	7		
693050	Pbp	pheromone binding protein	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
693025	vvl	ventral veins lacking	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	38752	NCBI Ortholog
693047	Fib-l	silk fibroin light chain	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692756	EcR	ecdysone receptor	Bombyx mori	domestic silkworm	PROTEIN_CODING	7	35540	NCBI Ortholog
692739	serpin-1	antitrypsin	Bombyx mori	domestic silkworm	PROTEIN_CODING	8		
100415910	Kr-h1	Kruppel homolog 1	Bombyx mori	domestic silkworm	PROTEIN_CODING	4		
100146108	Leb3	lebocin	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
733005	Sp2	sex-specific storage-protein 2	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
780849	Aanat	arylalkylamine N-acetyltransferase	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
100146105	P25	silk protein P25	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692547	Start1	Steroidogenic acute regulatory protein-like	Bombyx mori	domestic silkworm	PROTEIN_CODING	13	37927	NCBI Ortholog
692379	BGRP1	beta-1,3-glucan recognition protein 1	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
100125336	Aubergine	aubergine protein	Bombyx mori	domestic silkworm	PROTEIN_CODING	2	34524	NCBI Ortholog
692420	Hsp83	Heat shock protein 83	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	38389	NCBI Ortholog
732858	CecB1	cecropin B	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692516	Fmbp-1	fibroin-modulator-binding protein-1	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
693011	Eip74EF	Ecdysone-induced protein E74	Bombyx mori	domestic silkworm	PROTEIN_CODING	12	39962	NCBI Ortholog
100126161	Lac2	laccase 2	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	35494	NCBI Ortholog
693028	CECB1	cecropin B2	Bombyx mori	domestic silkworm	PROTEIN_CODING	3		
100135424	abd-A	abdominal A	Bombyx mori	domestic silkworm	PROTEIN_CODING	4		
693034	USP	RXR type hormone receptor	Bombyx mori	domestic silkworm	PROTEIN_CODING	14		
693039	Chi	chitinase	Bombyx mori	domestic silkworm	PROTEIN_CODING	4	41687	NCBI Ortholog
692522	per	period circadian regulator	Bombyx mori	domestic silkworm	PROTEIN_CODING	9	31251	NCBI Ortholog
693014	Gata-beta	transcription factor BCFI	Bombyx mori	domestic silkworm	PROTEIN_CODING	7		
693070	ftz-f1	ftz transcription factor 1	Bombyx mori	domestic silkworm	PROTEIN_CODING	8	40045	NCBI Ortholog
692758	PPO1	phenoloxidase subunit 1	Bombyx mori	domestic silkworm	PROTEIN_CODING	2		
693029	CecA	cecropin A	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692941	GSTo2	glutathione S-transferase omega 2	Bombyx mori	domestic silkworm	PROTEIN_CODING	4		
692434	PTSP	prothoracicostatic peptide	Bombyx mori	domestic silkworm	PROTEIN_CODING	2		
692579	jhe1	juvenile hormone esterase 1	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692732	lark	RNA-binding protein lark	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	38811	NCBI Ortholog
693015	Lzm	lysozyme	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
100134931	Sp1	sex-specific storage-protein SP1	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
100125337	Ago3	argonaute 3	Bombyx mori	domestic silkworm	PROTEIN_CODING	2	3355150	NCBI Ortholog
693012	Bbx-a2	bombyxin A2	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692686	Jheh2	juvenile hormone epoxide hydrolase	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692365	Mor	moricin	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
101741094	sage	salivary gland-expressed bHLH	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	41105	NCBI Ortholog
692604	Caspase1	caspase-1	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692741	VG	vitellogenin	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
693073	PPO2	phenoloxidase subunit 2	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
100145915	A3	actin A3	Bombyx mori	domestic silkworm	PROTEIN_CODING	2		
692406	CPR93	cuticular protein RR-2 motif 93	Bombyx mori	domestic silkworm	PROTEIN_CODING	1		
692500	Lpr	lipophorin receptor	Bombyx mori	domestic silkworm	PROTEIN_CODING	11	2768687	NCBI Ortholog
692624	Chbp	chlorophyllide A binding protein	Bombyx mori	domestic silkworm	PROTEIN_CODING	3		
692673	Pdi	protein disulfide isomerase	Bombyx mori	domestic silkworm	PROTEIN_CODING	1	39651	NCBI Ortholog
