NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
31271	w	white	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	31271	NCBI Ortholog
31293	N	Notch	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31293	NCBI Ortholog
34009	wg	wingless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	34009	NCBI Ortholog
33432	dpp	decapentaplegic	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	33432	NCBI Ortholog
36240	en	engrailed	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	36240	NCBI Ortholog
31251	per	period	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31251	NCBI Ortholog
3771877	Adh	Alcohol dehydrogenase	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	3771877	NCBI Ortholog
31151	arm	armadillo	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	31151	NCBI Ortholog
42737	hh	hedgehog	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	42737	NCBI Ortholog
42034	Ubx	Ultrabithorax	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	42034	NCBI Ortholog
36039	eve	even skipped	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	36039	NCBI Ortholog
42313	Delta	delta	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	42313	NCBI Ortholog
37455	Egfr	Epidermal growth factor receptor	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	37455	NCBI Ortholog
40830	bcd	bicoid	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	40830	NCBI Ortholog
31000	elav	embryonic lethal abnormal vision	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	31000	NCBI Ortholog
45928	shi	shibire	Drosophila melanogaster	fruit fly	PROTEIN_CODING	15	45928	NCBI Ortholog
37386	shg	shotgun	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	37386	NCBI Ortholog
32083	dlg1	discs large 1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	21	32083	NCBI Ortholog
32780	Sh	Shaker	Drosophila melanogaster	fruit fly	PROTEIN_CODING	17	32780	NCBI Ortholog
40015	rpr	reaper	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	40015	NCBI Ortholog
41032	hb	hunchback	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	41032	NCBI Ortholog
41605	ry	rosy	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	41605	NCBI Ortholog
30980	y	yellow	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	30980	NCBI Ortholog
40009	hid	head involution defective	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	40009	NCBI Ortholog
31364	Fas2	Fasciclin 2	Drosophila melanogaster	fruit fly	PROTEIN_CODING	7	31364	NCBI Ortholog
40835	Antp	Antennapedia	Drosophila melanogaster	fruit fly	PROTEIN_CODING	12	40835	NCBI Ortholog
44540	ct	cut	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	44540	NCBI Ortholog
38012	Kr	Kruppel	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	38012	NCBI Ortholog
44801	bsk	basket	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	44801	NCBI Ortholog
41140	Ras85D	Ras oncogene at 85D	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	41140	NCBI Ortholog
33571	tim	timeless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	10	33571	NCBI Ortholog
39753	Diap1	Death-associated inhibitor of apoptosis 1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	39753	NCBI Ortholog
40834	ftz	fushi tarazu	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	40834	NCBI Ortholog
41363	pros	prospero	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	41363	NCBI Ortholog
47763	Abd-B	Abdominal B	Drosophila melanogaster	fruit fly	PROTEIN_CODING	10	47763	NCBI Ortholog
3354888	rl	rolled	Drosophila melanogaster	fruit fly	PROTEIN_CODING	7	3354888	NCBI Ortholog
35540	EcR	Ecdysone receptor	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	35540	NCBI Ortholog
35851	ptc	patched	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	35851	NCBI Ortholog
43767	ci	cubitus interruptus	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	43767	NCBI Ortholog
33529	Mad	Mothers against dpp	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	33529	NCBI Ortholog
42549	InR	Insulin-like receptor	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	42549	NCBI Ortholog
35047	dl	dorsal	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	35047	NCBI Ortholog
43222	Tl	Toll	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	43222	NCBI Ortholog
34119	Su(var)205	Suppressor of variegation 205	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	34119	NCBI Ortholog
33753	tkv	thickveins	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	33753	NCBI Ortholog
40358	Pc	Polycomb	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	40358	NCBI Ortholog
37655	twi	twist	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	37655	NCBI Ortholog
26067080	vas	vasa	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	26067080	NCBI Ortholog
41066	osk	oskar	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	41066	NCBI Ortholog
35007	Mhc	Myosin heavy chain	Drosophila melanogaster	fruit fly	PROTEIN_CODING	21	35007	NCBI Ortholog
36810	Khc	Kinesin heavy chain	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	36810	NCBI Ortholog
31521	Act5C	Actin 5C	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	31521	NCBI Ortholog
3772180	Sxl	Sex lethal	Drosophila melanogaster	fruit fly	PROTEIN_CODING	25	3772180	NCBI Ortholog
38168	rho	rhomboid	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	38168	NCBI Ortholog
39251	Sod1	Superoxide dismutase 1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	39251	NCBI Ortholog
30982	sc	scute	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	30982	NCBI Ortholog
42896	crb	crumbs	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	42896	NCBI Ortholog
31248	sgg	shaggy	Drosophila melanogaster	fruit fly	PROTEIN_CODING	19	31248	NCBI Ortholog
42037	abd-A	abdominal A	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	42037	NCBI Ortholog
34881	Su(H)	Suppressor of Hairless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	34881	NCBI Ortholog
35977	brp	bruchpilot	Drosophila melanogaster	fruit fly	PROTEIN_CODING	14	35977	NCBI Ortholog
45307	fz	frizzled	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	45307	NCBI Ortholog
33473	Syt1	Synaptotagmin 1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	8	33473	NCBI Ortholog
35097	Fas3	Fasciclin 3	Drosophila melanogaster	fruit fly	PROTEIN_CODING	7	35097	NCBI Ortholog
41957	Akt	Akt kinase	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	41957	NCBI Ortholog
30981	ac	achaete	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	30981	NCBI Ortholog
38995	hry	hairy	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	38995	NCBI Ortholog
42297	nanos	nanos	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	42297	NCBI Ortholog
42367	ninaE	neither inactivation nor afterpotential E	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	42367	NCBI Ortholog
32078	dsh	dishevelled	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	32078	NCBI Ortholog
34924	CycE	Cyclin E	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	34924	NCBI Ortholog
42428	Stat92E	Signal-transducer and activator of transcription protein at 92E	Drosophila melanogaster	fruit fly	PROTEIN_CODING	11	42428	NCBI Ortholog
31376	norpA	no receptor potential A	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	31376	NCBI Ortholog
31554	sqh	spaghetti squash	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	31554	NCBI Ortholog
41709	foxo	forkhead box, sub-group O	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	41709	NCBI Ortholog
36421	vg	vestigial	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	36421	NCBI Ortholog
37618	CycB	Cyclin B	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	37618	NCBI Ortholog
38146	Rac1	Rac1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	38146	NCBI Ortholog
39015	TrpA1	Transient receptor potential cation channel A1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	39015	NCBI Ortholog
40848	alphaTub84B	alpha-Tubulin at 84B	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	40848	NCBI Ortholog
40940	dsx	doublesex	Drosophila melanogaster	fruit fly	PROTEIN_CODING	7	40940	NCBI Ortholog
44885	mys	myospheroid	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	44885	NCBI Ortholog
33156	l(2)gl	lethal (2) giant larvae	Drosophila melanogaster	fruit fly	PROTEIN_CODING	11	33156	NCBI Ortholog
38389	Hsp83	Heat shock protein 83	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	38389	NCBI Ortholog
36775	Rho1	Rho1	Drosophila melanogaster	fruit fly	PROTEIN_CODING	6	36775	NCBI Ortholog
5740544	futsch	futsch	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	5740544	NCBI Ortholog
40287	kni	knirps	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	40287	NCBI Ortholog
36993	Dcr-2	Dicer-2	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	36993	NCBI Ortholog
37973	Dll	Distal-less	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	37973	NCBI Ortholog
38419	Drs	Drosomycin	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	38419	NCBI Ortholog
41087	Rel	Relish	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	41087	NCBI Ortholog
48582	Hsp70Bb	Heat shock protein 70 Bb	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1		
31310	Myc	Myc	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31310	NCBI Ortholog
37851	yki	yorkie	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	37851	NCBI Ortholog
47285	repo	reversed polarity	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	47285	NCBI Ortholog
34171	grk	gurken	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	34171	NCBI Ortholog
37183	DptA	Diptericin A	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	37183	NCBI Ortholog
40958	puc	puckered	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	40958	NCBI Ortholog
43466	stg	string	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	43466	NCBI Ortholog
34908	sna	snail	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	34908	NCBI Ortholog
44505	br	broad	Drosophila melanogaster	fruit fly	PROTEIN_CODING	16	44505	NCBI Ortholog
31309	dnc	dunce	Drosophila melanogaster	fruit fly	PROTEIN_CODING	17	31309	NCBI Ortholog
35253	spi	spitz	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	35253	NCBI Ortholog
42226	fru	fruitless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	15	42226	NCBI Ortholog
32039	sev	sevenless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	32039	NCBI Ortholog
32406	rut	rutabaga	Drosophila melanogaster	fruit fly	PROTEIN_CODING	7	32406	NCBI Ortholog
32619	para	paralytic	Drosophila melanogaster	fruit fly	PROTEIN_CODING	60	32619	NCBI Ortholog
36032	Mef2	Myocyte enhancer factor 2	Drosophila melanogaster	fruit fly	PROTEIN_CODING	11	36032	NCBI Ortholog
2768981	Trl	Trithorax-like	Drosophila melanogaster	fruit fly	PROTEIN_CODING	10	2768981	NCBI Ortholog
32703	baz	bazooka	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	32703	NCBI Ortholog
42305	cry	cryptochrome	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	42305	NCBI Ortholog
47396	mTor	mechanistic Target of rapamycin	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	47396	NCBI Ortholog
33196	smo	smoothened	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	33196	NCBI Ortholog
43193	Pdf	Pigment-dispersing factor	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	43193	NCBI Ortholog
43275	Ser	Serrate	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	43275	NCBI Ortholog
48581	Hsp70Aa	Heat shock protein 70 Aa	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	48581	NCBI Ortholog
38872	Clk	Clock	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	38872	NCBI Ortholog
42757	pnt	pointed	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	42757	NCBI Ortholog
39849	tra	transformer	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	39849	NCBI Ortholog
43812	ey	eyeless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	4	43812	NCBI Ortholog
40833	Scr	Sex combs reduced	Drosophila melanogaster	fruit fly	PROTEIN_CODING	5	40833	NCBI Ortholog
43656	tll	tailless	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	43656	NCBI Ortholog
47594	aPKC	atypical protein kinase C	Drosophila melanogaster	fruit fly	PROTEIN_CODING	12	47594	NCBI Ortholog
43229	His2Av	Histone H2A variant	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	43229	NCBI Ortholog
44920	Hsp70Ab	Heat shock protein 70 Ab	Drosophila melanogaster	fruit fly	PROTEIN_CODING	1	44920	NCBI Ortholog
31221	Raf	Raf oncogene	Drosophila melanogaster	fruit fly	PROTEIN_CODING	2	31221	NCBI Ortholog
33916	eya	eyes absent	Drosophila melanogaster	fruit fly	PROTEIN_CODING	3	33916	NCBI Ortholog
