ostrinia_nubilalis	drosophila_melanogaster
XP_063820881.1	NP_524647.2
XP_063820883.1	NP_647982.1
XP_063820886.1	NP_609739.2
XP_063820887.1	NP_609939.1
XP_063820889.1	NP_611890.1
XP_063820893.1	NP_572728.1
XP_063820894.1	NP_648056.1
XP_063820896.1	NP_648944.1
XP_063820898.1	NP_524031.2
XP_063820900.1	NP_523687.1
XP_063820902.1	NP_001097085.1
XP_063820904.1	NP_650248.1
XP_063820905.1	NP_647831.1
XP_063820907.1	NP_733309.3
XP_063820908.1	NP_649017.1
XP_063820911.1	NP_609074.3
XP_063820913.1	NP_523570.3
XP_063820914.1	NP_650302.1
XP_063820916.1	NP_650253.1
XP_063820920.1	NP_524682.1
XP_063820926.1	NP_611036.2
XP_063820927.1	NP_652253.1
XP_063820930.1	NP_649048.1
XP_063820933.1	NP_524635.3
XP_063820934.1	NP_572286.1
XP_063820935.1	NP_648888.1
XP_063820937.1	NP_651619.1
XP_063820938.1	NP_612003.1
XP_063820939.1	NP_648658.1
XP_063820941.1	NP_730841.2
XP_063820945.1	NP_649474.1
XP_063820950.1	NP_610776.1
XP_063820953.1	NP_610777.1
XP_063820954.1	NP_001027127.1
XP_063820955.1	NP_610059.1
XP_063820956.1	NP_477064.1
XP_063820958.1	NP_648419.1
XP_063820961.1	NP_610774.3
XP_063820966.1	NP_647809.3
XP_063820967.1	NP_647981.1
XP_063820968.1	NP_648210.1
XP_063820970.1	NP_996512.1
XP_063820976.1	NP_001097645.1
XP_063820988.1	NP_647665.2
XP_063820991.1	NP_648389.3
XP_063821002.1	NP_477402.1
XP_063821011.1	NP_001097547.1
XP_063821012.1	NP_648209.1
XP_063821013.1	NP_647668.1
XP_063821019.1	NP_647667.1
XP_063821021.1	NP_788610.1
XP_063821022.1	NP_523946.1
XP_063821026.1	NP_731472.1
XP_063821028.1	NP_523435.1
XP_063821030.1	NP_651182.2
XP_063821031.1	NP_608832.1
XP_063821032.1	NP_524730.1
XP_063821033.1	NP_648943.2
XP_063821035.1	NP_651902.2
XP_063821036.1	NP_524877.1
XP_063821037.1	NP_524302.1
XP_063821038.1	NP_731211.1
XP_063821043.1	NP_648239.1
XP_063821044.1	NP_612063.2
XP_063821045.1	NP_610253.1
XP_063821051.1	NP_573117.2
XP_063821052.1	NP_733258.4
XP_063821054.1	NP_524171.2
XP_063821059.1	NP_652010.1
XP_063821060.1	NP_524734.2
XP_063821061.1	NP_729175.3
XP_063821062.1	NP_726511.2
XP_063821066.1	NP_651116.1
XP_063821067.1	NP_652706.3
XP_063821070.1	NP_648058.1
XP_063821071.1	NP_649091.1
XP_063821073.1	NP_650234.3
XP_063821078.1	NP_650441.1
XP_063821081.1	NP_001097628.1
XP_063821082.1	NP_733058.1
XP_063821083.1	NP_524666.2
XP_063821084.1	NP_524293.2
XP_063821086.1	NP_732199.2
XP_063821088.1	NP_524474.1
XP_063821089.1	NP_572648.1
XP_063821090.1	NP_609034.1
XP_063821093.1	NP_647750.4
XP_063821097.1	NP_524193.2
XP_063821098.1	NP_649304.1
XP_063821099.1	NP_523885.2
XP_063821100.1	NP_609997.1
XP_063821102.1	NP_648922.1
XP_063821103.1	NP_608354.1
XP_063821104.1	NP_610693.1
XP_063821105.1	NP_651307.2
XP_063821106.1	NP_476627.3
XP_063821107.1	NP_523408.2
XP_063821108.1	NP_524661.1
XP_063821109.1	NP_649277.1
XP_063821110.1	NP_648909.1
XP_063821111.1	NP_524829.1
XP_063821112.1	NP_648930.1
XP_063821118.1	NP_649312.1
XP_063821124.1	NP_648565.1
XP_063821125.1	NP_573314.1
XP_063821126.1	NP_573315.1
XP_063821127.1	NP_647990.1
XP_063821128.1	NP_609238.1
XP_063821129.1	NP_649051.3
XP_063821130.1	NP_648113.1
XP_063821134.1	NP_611033.2
XP_063821137.1	NP_650000.1
XP_063821140.1	NP_722858.1
XP_063821141.1	NP_650680.1
XP_063821144.1	NP_648946.3
XP_063821146.1	NP_523942.2
XP_063821148.1	NP_728642.2
XP_063821150.1	NP_001097508.2
XP_063821151.1	NP_651601.1
XP_063821152.1	NP_608458.1
XP_063821154.1	NP_524860.2
XP_063821156.1	NP_477305.1
XP_063821157.1	NP_730996.2
XP_063821162.1	NP_650967.2
XP_063821163.1	NP_524401.2
XP_063821168.1	NP_608920.1
XP_063821175.1	NP_648032.1
XP_063821176.1	NP_648059.1
XP_063821178.1	NP_648231.1
XP_063821183.1	NP_723797.3
