NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
63652888	ATP6	ATP synthase F0 subunit 6	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652889	COX3	cytochrome c oxidase subunit III	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652893	ND4L	NADH dehydrogenase subunit 4L	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652895	CYTB	cytochrome b	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652900	ND2	NADH dehydrogenase subunit 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652903	COX1	cytochrome c oxidase subunit I	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652904	COX2	cytochrome c oxidase subunit II	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652906	ATP8	ATP synthase F0 subunit 8	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652907	ND3	NADH dehydrogenase subunit 3	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652913	ND5	NADH dehydrogenase subunit 5	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652914	ND4	NADH dehydrogenase subunit 4	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652916	ND6	NADH dehydrogenase subunit 6	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652917	ND1	NADH dehydrogenase subunit 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING			
63652918	J6672_mgr02	16S ribosomal RNA	Ostrinia nubilalis	European corn borer	rRNA			
63652920	J6672_mgr01	12S ribosomal RNA	Ostrinia nubilalis	European corn borer	rRNA			
135071060	gpp	DOT1 like histone lysine methyltransferase grappa	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40793	NCBI Ortholog
135071061	LOC135071061	secretory phospholipase A2 receptor-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071062	LOC135071062	putative serine protease K12H4.7	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071063	LOC135071063	longitudinals lacking protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071064	LOC135071064	uncharacterized LOC135071064	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071065	LOC135071065	protein still life, isoform SIF type 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	43892	NCBI Ortholog
135071066	Blimp-1	PR domain zinc finger protein 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3	38638	NCBI Ortholog
135071067	LOC135071067	zinc finger protein 583-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071068	Dus4	Dihydrouridine synthase 4	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	35179	NCBI Ortholog
135071069	LOC135071069	uncharacterized LOC135071069	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071070	Zfrp8	Zinc finger protein RP-8	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3	45021	NCBI Ortholog
135071071	LOC135071071	transmembrane protein 242	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32101	NCBI Ortholog
135071072	LOC135071072	uncharacterized LOC135071072	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071073	LOC135071073	coiled-coil domain-containing protein 6	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39903	NCBI Ortholog
135071074	LOC135071074	uncharacterized LOC135071074	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071075	LOC135071075	uncharacterized LOC135071075	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071076	LOC135071076	uncharacterized LOC135071076	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	5740672	NCBI Ortholog
135071077	byn	T-domain transcriptional activator brachyenteron	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39349	NCBI Ortholog
135071078	LOC135071078	larval cuticle protein 1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071079	Rab3	RAS oncogene family member Rab3	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3	36127	NCBI Ortholog
135071080	LOC135071080	uncharacterized LOC135071080	Ostrinia nubilalis	European corn borer	ncRNA	2		
135071081	LOC135071081	uncharacterized LOC135071081	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071082	LOC135071082	GTPase Era, mitochondrial	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	41597	NCBI Ortholog
135071083	LOC135071083	mpv17-like protein 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071084	LOC135071084	uncharacterized LOC135071084	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071085	LOC135071085	uncharacterized LOC135071085	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071086	LOC135071086	uncharacterized LOC135071086	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	33954	NCBI Ortholog
135071087	LOC135071087	dihydrolipoyl dehydrogenase	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39988	NCBI Ortholog
135071088	LOC135071088	uncharacterized LOC135071088	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071089	LOC135071089	GATA zinc finger domain-containing protein 14-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3		
135071090	LOC135071090	protein yellow-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071091	LOC135071091	serine/threonine-protein kinase STK11	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	41673	NCBI Ortholog
135071092	LOC135071092	traB domain-containing protein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4		
135071093	LOC135071093	protein stunted	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	44046	NCBI Ortholog
135071094	LOC135071094	uncharacterized LOC135071094	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071095	LOC135071095	glutamate receptor ionotropic, NMDA 3A-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3		
135071096	Stacl	SH3 and cysteine-rich domain-containing protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	5740318	NCBI Ortholog
135071097	LOC135071097	putative uncharacterized protein DDB_G0291608	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071098	LOC135071098	mucin-2-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071099	bora	aurora kinase A activator-like protein bora	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40031	NCBI Ortholog
135071100	LOC135071100	pancreatic triacylglycerol lipase-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071101	LOC135071101	calcium/calmodulin-dependent protein kinase type II alpha chain-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071102	LOC135071102	pancreatic lipase-related protein 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	31532	NCBI Ortholog
135071103	LOC135071103	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071104	LOC135071104	uncharacterized LOC135071104	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071105	LOC135071105	formylglycine-generating enzyme	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38022	NCBI Ortholog
135071106	LOC135071106	uncharacterized LOC135071106	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071107	LOC135071107	very long chain fatty acid elongase AAEL008004-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4		
135071108	LOC135071108	very long chain fatty acid elongase AAEL008004-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4		
135071109	Elovl7	ELOVL fatty acid elongase 7	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40943	NCBI Ortholog
135071110	LOC135071110	osteocalcin 2-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071111	LOC135071111	uncharacterized LOC135071111	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071112	LOC135071112	uncharacterized LOC135071112	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
