ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063820880.1	NP_649286.2	40335	CG42337	uncharacterized protein
XP_063820881.1	NP_524647.2	43892	sif	still life
XP_063820883.1	NP_647982.1	38638	Blimp-1	Blimp-1
XP_063820886.1	NP_609739.2	34887	CG15269	uncharacterized protein
XP_063820887.1	NP_609939.1	35179	Dus4	Dihydrouridine synthase 4
XP_063820889.1	NP_611890.1	45021	Zfrp8	Zinc finger protein RP-8
XP_063820893.1	NP_572728.1	32101	CG11699	uncharacterized protein
XP_063820894.1	NP_648056.1	38748	velo	veloren
XP_063820896.1	NP_648944.1	39903	CG6664	uncharacterized protein
XP_063820898.1	NP_524031.2	39349	byn	brachyenteron
XP_063820900.1	NP_523687.1	36127	Rab3	Rab3
XP_063820902.1	NP_001097085.1	5740672	dcma	decima
XP_063820904.1	NP_650248.1	41597	CG7488	uncharacterized protein
XP_063820905.1	NP_647831.1	38445	CG32262	uncharacterized protein
XP_063820907.1	NP_733309.3	43518	ca	claret
XP_063820908.1	NP_649017.1	39988	CG7430	uncharacterized protein
XP_063820911.1	NP_609074.3	33954	CG17377	uncharacterized protein
XP_063820913.1	NP_523570.3	34879	yellow-c	yellow-c
XP_063820914.1	NP_650302.1	41673	Lkb1	Lkb1 kinase
XP_063820916.1	NP_650253.1	26067077	CG46280	uncharacterized protein
XP_063820920.1	NP_524682.1	44046	sun	stunted
XP_063820926.1	NP_611036.2	5740318	Stacl	Stac-like
XP_063820927.1	NP_652253.1	50074	CG13643	uncharacterized protein
XP_063820930.1	NP_649048.1	40031	bora	aurora borealis
XP_063820933.1	NP_524635.3	43828	CaMKII	Calcium/calmodulin-dependent protein kinase II
XP_063820934.1	NP_572286.1	31532	CG5966	uncharacterized protein
XP_063820935.1	NP_648888.1	39820	Agpat3	1-Acylglycerol-3-phosphate O-acyltransferase 3
XP_063820937.1	NP_651619.1	43377	beat-VI	beaten path VI
XP_063820938.1	NP_612003.1	38022	CG7049	uncharacterized protein
XP_063820939.1	NP_648658.1	39521	Tgi	Tondu-domain-containing Growth Inhibitor
XP_063820941.1	NP_730841.2	40567	CG31522	uncharacterized protein
XP_063820945.1	NP_649474.1	326148	CG31523	uncharacterized protein
XP_063820950.1	NP_610776.1	36353	Cpr49Ag	Cuticular protein 49Ag
XP_063820953.1	NP_610777.1	36354	Cpr49Ah	Cuticular protein 49Ah
XP_063820954.1	NP_001027127.1	3772583	gdl	gonadal
XP_063820955.1	NP_610059.1	35344	CG9328	uncharacterized protein
