Gene ID	Protein accession
809257	NP_059468.1
809258	NP_059469.1
809259	NP_059470.1
809260	NP_059471.1
809261	NP_059472.1
809262	NP_059473.1
809263	NP_059474.1
809265	NP_059475.1
809266	NP_059476.1
809267	NP_059477.1
809268	NP_059478.1
809269	NP_059479.1
4266952	NP_059480.1
119628875	XP_037868765.1
101741181	XP_004932775.1
101739479	XP_012551485.1
105842509	XP_012551488.1
101741407	XP_004932776.1
101739615	XP_021207984.2
119628878	XP_037868781.1
101741740	XP_004932779.1
101739758	XP_037866884.2
119628879	XP_037868784.1
134198721	XP_062530354.1
105841884	XP_037867887.1
101741886	XP_004932780.1
101742177	XP_037867877.1
100384889	NP_001170882.1
101742318	XP_004932783.1
732936	NP_001040400.1
101742469	XP_037867331.1
119628632	XP_062527361.1
101740159	XP_012551471.1
101742610	XP_021207953.1
101742756	XP_037870243.1
101740430	XP_021207972.2
101743052	XP_004932788.1
101742910	XP_004932787.1
101740565	XP_004932855.1
101743283	XP_004932789.1
119629035	XP_037869409.1
101740839	XP_062527072.1
134199679	XP_062527082.1
101743424	XP_004932790.2
119628895	XP_062527092.1
134199822	XP_062527378.1
101743564	XP_004932791.1
101741126	XP_004932859.3
101743705	XP_004932792.1
101743858	XP_021207995.2
101744149	XP_004932795.1
101744289	XP_004932796.1
101741268	XP_012551538.1
101744433	XP_004932797.1
101744817	XP_012551530.1
100270783	NP_001138803.1
105842498	XP_037874623.1
101741691	XP_037869579.1
101741838	XP_037867053.1
100579140	NP_001232932.1
105842517	XP_012551528.3
105841232	XP_012551457.3
101745111	XP_012551512.1
101745262	XP_062531673.1
101745405	XP_012551509.3
100328579	NP_001164468.1
101742128	XP_062532477.1
101745545	XP_021208028.1
101745693	XP_004932805.1
101742420	XP_012551432.3
101745928	XP_012551520.1
101742566	XP_021208046.2
101746314	XP_004932809.1
105842515	XP_012551524.1
101746452	XP_037877624.1
101746594	XP_004932811.2
101746820	XP_004932813.2
101742707	XP_004932869.2
105841890	XP_037870169.1
101742998	XP_037870167.2
101739801	XP_062532088.1
101746961	XP_004932814.1
100750224	XP_004932815.3
101735670	XP_004932820.1
101735897	XP_004932822.1
101736024	XP_037869460.1
101743284	XP_037869560.2
101743425	XP_037867940.1
101736161	XP_004932824.1
101736377	XP_004932826.1
101736825	XP_004932830.1
134199682	XP_062527106.1
101743706	XP_037867898.1
101737036	XP_004932832.1
100579139	NP_001232931.1
692399	NP_001269150.1
101743859	XP_021208047.2
101744290	NP_001296525.1
101744434	XP_012551440.3
101744584	XP_037869734.2
101737320	XP_004932834.1
101737462	XP_004932835.2
101744726	XP_012551521.2
100174942	NP_001127728.1
101737840	XP_004932837.1
134201873	XP_062533129.1
101737973	XP_004932838.2
101744871	XP_037869606.1
119628907	XP_037868916.1
101745159	XP_004932886.2
101745445	XP_037868162.1
101738102	XP_004932839.1
119628779	XP_062527112.1
101738460	XP_004932841.1
101738591	NP_001296499.1
732866	NP_001040334.1
101738820	XP_004932845.1
101739052	XP_021208032.1
101739198	XP_004932847.1
101745741	XP_004932890.1
101739335	XP_021208033.1
