Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_087088.1	171298	175575	1	minus	THAP domain-containing protein 5-like	LOC135074699	135074699	protein-coding	XM_063969070.1	XP_063825140.1	237	
NC_087088.1	231482	398235	1	minus	putative aminopeptidase W07G4.4	LOC135074877	135074877	protein-coding	XM_063969287.1	XP_063825357.1	513	
NC_087088.1	284664	290059	1	plus	DNA repair protein complementing XP-A cells homolog	LOC135074055	135074055	protein-coding	XM_063968394.1	XP_063824464.1	299	
NC_087088.1	292982	295289	1	minus	zinc finger protein 706-like	LOC135074348	135074348	protein-coding	XM_063968643.1	XP_063824713.1	77	
NC_087088.1	306907	312525	1	plus	probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial	LOC135075295	135075295	protein-coding	XM_063969727.1	XP_063825797.1	392	
NC_087088.1	314210	327155	1	minus	very long-chain specific acyl-CoA dehydrogenase, mitochondrial	LOC135074782	135074782	protein-coding	XM_063969196.1	XP_063825266.1	616	
NC_087088.1	341096	352261	1	plus	phospholipase ABHD3	LOC135074547	135074547	protein-coding	XM_063968910.1	XP_063824980.1	396	
NC_087088.1	369363	372812	1	plus	leucine carboxyl methyltransferase 1	LOC135075420	135075420	protein-coding	XM_063969888.1	XP_063825958.1	318	
NC_087088.1	372802	397187	1	minus	integrator complex subunit 9	LOC135076884	135076884	protein-coding	XM_063971383.1	XP_063827453.1	674	
NC_087088.1	375569	380248	1	plus	THAP domain-containing protein 5-like	LOC135074723	135074723	protein-coding	XM_063969095.1	XP_063825165.1	265	
NC_087088.1	412004	417187	1	plus	uncharacterized LOC135076893	LOC135076893	135076893	protein-coding	XM_063971407.1	XP_063827477.1	1727	
NC_087088.1	428333	429502	1	plus	cytochrome b5-like	LOC135074689	135074689	protein-coding	XM_063969090.1	XP_063825160.1	131	
NC_087088.1	476609	796116	1	minus	zwei Ig domain protein zig-8-like	LOC135074690	135074690	protein-coding	XM_063969059.1	XP_063825129.1	215	
NC_087088.1	972301	983323	1	minus	phospholipid scramblase 3-like	LOC135075521	135075521	protein-coding	XM_063969977.1	XP_063826047.1	203	
NC_087088.1	995775	998023	1	plus	uncharacterized LOC135075626	LOC135075626	135075626	protein-coding	XM_063970071.1	XP_063826141.1	123	
NC_087088.1	1031770	1033609	1	minus	cilia- and flagella-associated protein 20	LOC135075780	135075780	protein-coding	XM_063970279.1	XP_063826349.1	201	
NC_087088.1	1038652	1065005	1	plus	serine/threonine-protein kinase 3	LOC135076037	135076037	protein-coding	XM_063970521.1	XP_063826591.1	550	
NC_087088.1	1073177	1078035	1	minus	uncharacterized LOC135075948	LOC135075948	135075948	protein-coding	XM_063970428.1	XP_063826498.1	149	
NC_087088.1	1098800	1118927	1	plus	uncharacterized LOC135074751	LOC135074751	135074751	protein-coding	XM_063969126.1	XP_063825196.1	176	
NC_087088.1	1125029	1134535	1	minus	hairy/enhancer-of-split related with YRPW motif protein	LOC135076903	135076903	protein-coding	XM_063971418.1	XP_063827488.1	313	
NC_087088.1	1299749	1340551	1	plus	uncharacterized LOC135076910	LOC135076910	135076910	protein-coding	XM_063971430.1	XP_063827500.1	1186	
NC_087088.1	1325115	1355655	1	plus	uncharacterized LOC135076922	LOC135076922	135076922	protein-coding	XM_063971439.1	XP_063827509.1	274	
NC_087088.1	1354480	1364699	1	plus	caveolin-1-like	LOC135076928	135076928	protein-coding	XM_063971451.1	XP_063827521.1	253	
NC_087088.1	1365537	1367002	1	plus	uncharacterized LOC135076940	LOC135076940	135076940	protein-coding	XM_063971463.1	XP_063827533.1	161	
NC_087088.1	1371440	1381426	1	plus	mutS protein homolog 5-like	LOC135076949	135076949	protein-coding	XM_063971475.1	XP_063827545.1	780	
